Ticker,Month,AvgDailyReturn
AAPL,2020-08,0.00956581288849894
AAPL,2022-07,0.008791748433940844
AAPL,2020-04,0.007338751580538861
AAPL,2020-07,0.007313660689212137
AAPL,2020-06,0.006459268964875687
AAPL,2024-05,0.005691975185593925
AAPL,2025-08,0.005552065519108125
AAPL,2023-01,0.005381029715844027
AAPL,2022-10,0.005296790455889234
AAPL,2023-11,0.005187803616332981
AAPL,2020-12,0.005093110035097745
AAPL,2024-06,0.005025386052941601
AAPL,2023-03,0.004976853919106377
AAPL,2021-11,0.004870222586103257
AAPL,2020-11,0.004719653672786978
AAPL,2025-09,0.004567507776722308
AAPL,2021-06,0.004349043312787374
AAPL,2023-06,0.004345268064110434
AAPL,2020-05,0.004162515593579419
AAPL,2021-04,0.003591201815606195
AAPL,2021-12,0.0034220332129781764
AAPL,2021-07,0.003095885510186744
AAPL,2021-10,0.002784686839857162
AAPL,2025-10,0.002710105747780397
AAPL,2022-03,0.002622292292723666
AAPL,2024-12,0.0026099024295422615
AAPL,2024-11,0.0025666907461082576
AAPL,2024-07,0.0025263343482897493
AAPL,2023-05,0.002123606997346014
AAPL,2021-08,0.001956504222952056
AAPL,2025-11,0.00172127685233427
AAPL,2020-01,0.001652941845314021
AAPL,2023-04,0.0015797634254350937
AAPL,2024-08,0.0015488849705986953
AAPL,2025-02,0.001472714776450466
AAPL,2023-02,0.0013358482871547348
AAPL,2025-06,0.0011274547243938671
AAPL,2024-09,0.0009700565723585797
AAPL,2023-12,0.0007137702912039135
AAPL,2023-07,0.0006637592592828534
AAPL,2021-03,0.0005744595899964532
AAPL,2025-07,0.0005679540367720872
AAPL,2021-01,-1.310192845992372e-05
AAPL,2023-10,-6.56112210981002e-05
AAPL,2024-04,-0.0002008725525495197
AAPL,2022-01,-0.0005661445883883287
AAPL,2024-02,-0.0009065197121086943
AAPL,2025-04,-0.0009618341547884493
AAPL,2025-12,-0.00112669116934873
AAPL,2022-11,-0.0011794558824016529
AAPL,2022-08,-0.0012517541143843701
AAPL,2024-10,-0.0012588637682995631
AAPL,2020-03,-0.0012614910689658365
AAPL,2023-08,-0.0017539947335798783
AAPL,2024-01,-0.0019429485202534461
AAPL,2022-05,-0.002199878996907492
AAPL,2025-05,-0.0024086829939408507
AAPL,2020-10,-0.002443102381073027
AAPL,2021-05,-0.002469628823996045
AAPL,2024-03,-0.002509267522809555
AAPL,2025-01,-0.0027848526201612934
AAPL,2022-02,-0.0028131569318427616
AAPL,2021-09,-0.003267095419099277
AAPL,2022-06,-0.0037533314185444607
AAPL,2025-03,-0.003860794218876925
AAPL,2021-02,-0.004268714798125348
AAPL,2023-09,-0.004533588992664217
AAPL,2020-09,-0.0045641843615094576
AAPL,2022-04,-0.004878196893419562
AAPL,2022-09,-0.005864372768532747
AAPL,2022-12,-0.006032692498747229
AAPL,2020-02,-0.006108861569917716
AMZN,2022-07,0.012585288431351833
AMZN,2020-04,0.011724874399308112
AMZN,2023-01,0.010565146691529631
AMZN,2024-02,0.006762780679548058
AMZN,2020-07,0.006667961392554802
AMZN,2023-05,0.006268244034573075
AMZN,2024-11,0.005732516911277452
AMZN,2020-06,0.005665950894797161
AMZN,2021-04,0.005508913571815847
AMZN,2025-05,0.0052857602743348
AMZN,2025-10,0.00496382059665322
AMZN,2024-06,0.004913013293572709
AMZN,2023-11,0.004530587481107245
AMZN,2020-08,0.004262882990624384
AMZN,2023-03,0.004163632388755153
AMZN,2025-01,0.004102813527388638
AMZN,2023-06,0.0038746098567211834
AMZN,2025-06,0.003499931506484882
AMZN,2021-06,0.003025257712475819
AMZN,2020-01,0.0030085534966566574
AMZN,2025-07,0.003003595158250307
AMZN,2022-03,0.00291934933956934
AMZN,2024-12,0.002712865266051301
AMZN,2023-10,0.0024215401366908806
AMZN,2020-11,0.0023911883970810623
AMZN,2020-03,0.0023774428279558727
AMZN,2024-09,0.0022898760059477607
AMZN,2022-02,0.0021791375717202448
AMZN,2023-12,0.0020325909140352038
AMZN,2021-11,0.002024883454644519
AMZN,2021-08,0.00196602295752931
AMZN,2023-08,0.001628942751731716
AMZN,2023-07,0.0013877512343431376
AMZN,2023-04,0.0013791891146051995
AMZN,2021-10,0.0013637401486464068
AMZN,2020-12,0.0013357547901656068
AMZN,2024-01,0.0011035809419297916
AMZN,2024-03,0.0010856995739595143
AMZN,2024-05,0.0004391122300420552
AMZN,2021-03,0.00015034933466628392
AMZN,2024-10,0.00011867832147218953
AMZN,2025-12,-0.00041682379252455155
AMZN,2020-05,-0.0004266529225376792
AMZN,2025-04,-0.0006395679770488885
AMZN,2021-01,-0.000683169545157949
AMZN,2025-08,-0.0007645731238167622
AMZN,2022-05,-0.0009301103213278953
AMZN,2024-04,-0.0012413254497435052
AMZN,2020-10,-0.0013379618614873196
AMZN,2021-07,-0.0013383614458624443
AMZN,2024-07,-0.0013781571211731079
AMZN,2021-02,-0.0017578063398901007
AMZN,2024-08,-0.0017596751047614277
AMZN,2025-09,-0.001863128598860408
AMZN,2022-11,-0.002143472655333735
AMZN,2021-12,-0.002198578928581239
AMZN,2025-11,-0.0022020828846217237
AMZN,2022-08,-0.0024931245671769176
AMZN,2021-09,-0.002560864195045188
AMZN,2020-02,-0.003196250387823206
AMZN,2021-05,-0.0035492819803525644
AMZN,2023-09,-0.003906373519075751
AMZN,2020-09,-0.003994013600157635
AMZN,2022-10,-0.004145688437777121
AMZN,2023-02,-0.004298513450093524
AMZN,2025-03,-0.004985919977227373
AMZN,2022-01,-0.005140570289579099
AMZN,2022-09,-0.005167236534916152
AMZN,2022-06,-0.0053559191060527514
AMZN,2025-02,-0.005790677040169287
AMZN,2022-12,-0.006391932998541107
AMZN,2022-04,-0.012672285182314464
GOOGL,2020-04,0.0076069101142496745
GOOGL,2025-11,0.007142073731232639
GOOGL,2025-09,0.006630796906442468
GOOGL,2025-10,0.0064847618888054185
GOOGL,2021-04,0.006418566779444566
GOOGL,2023-03,0.006344691521872376
GOOGL,2023-05,0.006302565769467391
GOOGL,2023-01,0.005900598809524505
GOOGL,2024-12,0.005726974091736149
GOOGL,2021-02,0.005549754575494115
GOOGL,2023-07,0.005374027443132617
GOOGL,2025-08,0.005040103511878368
GOOGL,2021-10,0.0050180515401559034
GOOGL,2021-07,0.004793071809409191
GOOGL,2020-10,0.004708989215393079
GOOGL,2024-03,0.004447944461613518
GOOGL,2020-08,0.004401165356874541
GOOGL,2020-11,0.004249746357128303
GOOGL,2025-05,0.004007284604775523
GOOGL,2025-07,0.003941855005140125
GOOGL,2025-01,0.003891871023191301
GOOGL,2024-04,0.0037890294578112175
GOOGL,2022-07,0.0037044682715096145
GOOGL,2022-11,0.0036158393982969475
GOOGL,2021-08,0.0032798493325695136
GOOGL,2020-05,0.0032097948407301736
GOOGL,2023-11,0.003205079033425701
GOOGL,2024-06,0.0029894992900749823
GOOGL,2023-12,0.0027545205340516687
GOOGL,2024-05,0.00268917304421233
GOOGL,2021-01,0.002432196606832605
GOOGL,2020-01,0.002355135304412731
GOOGL,2020-07,0.0023155897009445566
GOOGL,2023-04,0.0019494988395248063
GOOGL,2025-04,0.0016992467750241462
GOOGL,2021-06,0.001641178854580826
GOOGL,2025-06,0.0015053705625145187
GOOGL,2022-03,0.0014848676007098475
GOOGL,2024-10,0.001433141002651833
GOOGL,2023-08,0.0012116332984937485
GOOGL,2021-03,0.001023973515286308
GOOGL,2021-12,0.0010106388331658576
GOOGL,2024-09,0.0009464292265884633
GOOGL,2024-01,0.00034984856271978525
GOOGL,2022-02,0.00025541545276563937
GOOGL,2022-05,0.00019469333960691904
GOOGL,2021-05,0.0001754984468472387
GOOGL,2020-12,1.227840385805499e-05
GOOGL,2022-10,-0.00014948792675188263
GOOGL,2020-06,-0.0003077294006981403
GOOGL,2024-11,-0.0004556587947391
GOOGL,2024-02,-0.0004685149141877121
GOOGL,2025-12,-0.0009091940563552912
GOOGL,2023-06,-0.0011348106425403853
GOOGL,2022-06,-0.001721903061810642
GOOGL,2023-09,-0.0019088216611543862
GOOGL,2021-11,-0.0019099325356633369
GOOGL,2024-08,-0.0020955476577552397
GOOGL,2023-10,-0.0021032245127408896
GOOGL,2024-07,-0.0025645578178241494
GOOGL,2022-08,-0.0029716948693767377
GOOGL,2022-01,-0.0032364111834904175
GOOGL,2020-02,-0.00331344802173828
