Date,Ticker,ForecastAdjClose,ForecastType
2026-01-01,SPY,678.8393912758326,ARIMA Model Forecast
2026-01-02,SPY,678.6957427769771,ARIMA Model Forecast
2026-01-05,SPY,679.012716178249,ARIMA Model Forecast
2026-01-06,SPY,679.2706281665563,ARIMA Model Forecast
2026-01-07,SPY,679.1349564126784,ARIMA Model Forecast
2026-01-08,SPY,679.1649305461275,ARIMA Model Forecast
2026-01-09,SPY,679.1164039051398,ARIMA Model Forecast
2026-01-12,SPY,679.1188146147867,ARIMA Model Forecast
2026-01-13,SPY,679.1285932856388,ARIMA Model Forecast
2026-01-14,SPY,679.1256938031391,ARIMA Model Forecast
2026-01-15,SPY,679.1302531858313,ARIMA Model Forecast
2026-01-16,SPY,679.1280075943253,ARIMA Model Forecast
2026-01-19,SPY,679.1280143060332,ARIMA Model Forecast
2026-01-20,SPY,679.1280345269851,ARIMA Model Forecast
2026-01-21,SPY,679.1277881674806,ARIMA Model Forecast
2026-01-22,SPY,679.128054653049,ARIMA Model Forecast
2026-01-23,SPY,679.1279697003496,ARIMA Model Forecast
2026-01-26,SPY,679.128004465165,ARIMA Model Forecast
2026-01-27,SPY,679.1279991881605,ARIMA Model Forecast
2026-01-28,SPY,679.1279832698827,ARIMA Model Forecast
