CLIENT_ID,LIMIT_BAL,PredictedDefaultProbability,DEFAULT
20995,200000,0.9797770607278962,1
24324,200000,0.9797770607278962,1
26778,200000,0.9797770607278962,1
29957,210000,0.9797770607278962,1
7784,200000,0.9788663430131994,1
13704,200000,0.9788663430131994,1
28821,220000,0.9787300775973345,1
1957,220000,0.9778193598826378,1
27168,250000,0.9755586467769622,1
27511,250000,0.9755131071197519,1
11068,260000,0.974810447352721,1
12012,260000,0.974810447352721,1
14942,250000,0.97477756309792,1
13736,260000,0.9743892105440197,1
19966,300000,0.9732291138008239,1
16028,200000,0.9731550628575468,1
11733,300000,0.9724095144278418,1
15989,20000,0.9715141145357677,1
20705,20000,0.9715141145357677,1
24146,20000,0.9715141145357677,1
28026,20000,0.9715141145357677,1
29547,20000,0.9715141145357677,1
29738,20000,0.9715141145357677,1
12949,280000,0.9714603695198314,1
10738,280000,0.9714274852650303,1
17021,10000,0.9713153347152985,1
17227,10000,0.9713153347152985,1
17744,10000,0.9713153347152985,1
17235,360000,0.9699549488054654,1
25032,500000,0.9697089616050251,1
15130,30000,0.9691528436608964,1
6042,500000,0.9690645359249079,1
16777,30000,0.9689403641542979,1
15936,30000,0.9688500582529094,1
17862,30000,0.9688500582529094,1
28192,30000,0.9688500582529094,1
16543,10000,0.9680129762054829,1
16921,20000,0.9675323174663842,1
26582,20000,0.9650054478725033,1
5836,10000,0.9648479029690032,1
13399,10000,0.9648479029690032,1
14237,10000,0.9648479029690032,1
17850,10000,0.9648403677431142,1
863,30000,0.9631619919202362,1
14965,30000,0.9626854119146014,1
8649,30000,0.9623826265066142,1
17796,10000,0.9622286118632718,1
17914,10000,0.9622286118632718,1
18123,10000,0.9622286118632718,1
29386,10000,0.9622286118632718,1
14853,30000,0.9621881320216613,1
18082,20000,0.9604770997985113,1
24005,20000,0.9604770997985113,1
24376,20000,0.9604770997985113,1
28718,50000,0.9604634306090003,0
29491,50000,0.9604634306090003,1
1486,20000,0.9599165645712681,1
6038,20000,0.9599165645712681,1
6269,10000,0.959751484441879,1
16478,30000,0.9595554215246266,1
13732,40000,0.9594599682412394,1
13959,40000,0.9594599682412394,1
22740,460000,0.9587314024458611,1
24134,200000,0.9586791240398417,1
674,30000,0.9579118932510984,1
20885,200000,0.957450012124702,1
24549,50000,0.9567804507503628,1
21942,50000,0.9561227698400501,1
29120,30000,0.9559637119610563,1
2114,70000,0.9551154568126863,1
29694,60000,0.9549430200648579,1
2405,50000,0.9540351513270076,1
7876,50000,0.9540351513270076,1
10795,50000,0.9540351513270076,1
12818,50000,0.9540351513270076,1
2471,20000,0.9539113476077944,1
17602,80000,0.9532374018875279,1
5720,30000,0.9523161870252417,1
14883,50000,0.9520863263181338,1
28574,110000,0.9516678367853322,1
21256,70000,0.951644614360563,1
18265,180000,0.9515357479831366,1
1147,70000,0.9514183686167322,1
26483,100000,0.9513488446886365,1
25003,190000,0.9513136041058649,1
17928,70000,0.9512174683572772,1
1981,80000,0.9511036859961958,1
29107,70000,0.9509726355478142,1
24537,20000,0.9507272340480002,1
7267,100000,0.9506954227518828,1
3287,30000,0.9504978040051921,1
18597,80000,0.9501162789896712,1
11200,200000,0.949903841119913,1
27831,20000,0.9497034051034485,1
28343,100000,0.9495593287517421,1
14644,30000,0.9493530400142268,1
16365,30000,0.9492391657650636,1
16581,70000,0.9492204553451868,1
8120,200000,0.9492095321894441,1
7364,30000,0.9483194366781624,1
